NOM;CODI;DATA_INI;DATA_FI;RESIDENCIA;IEPG_CONFIRMAT;R0_CONFIRMAT_M;IA14;TAXA_CASOS_CONFIRMAT;CASOS_CONFIRMAT;TAXA_PCRTAR;PCR;TAR;PERC_PCRTAR_POSITIVES;INGRESSOS_TOTAL;INGRESSOS_CRITIC;EXITUS;CASOS_PCR;CASOS_TAR;POSITIVITAT_PCR_NUM;POSITIVITAT_TAR_NUM;POSITIVITAT_PCR_DEN;POSITIVITAT_TAR_DEN;VACUNATS_DOSI_1;VACUNATS_DOSI_2
CATALUNYA;GLOBAL;2021-09-15;2021-09-21;--;;;0.0000;0.0000;105;0.0000;8529;15;0.6742;23;43;0;60;45;55;2;8442;12;773;701
CATALUNYA;GLOBAL;2021-09-15;2021-09-21;Si;;;194.8189;110.1150;78;8488.7414;5461;552;1.9898;41;1;10;66;12;66;12;3527;393;77;98
CATALUNYA;GLOBAL;2021-09-15;2021-09-21;No;61.043;0.848889;71.9093;30.7038;2377;1632.4588;87016;39364;2.3095;264;43;35;1242;1135;1318;1121;71516;34089;41800;51774
CATALUNYA;GLOBAL;2021-09-14;2021-09-20;No;64.6258;0.855236;75.5648;32.2926;2500;1622.9647;88376;37269;2.4879;270;38;32;1307;1193;1416;1185;72292;32252;44210;52383
CATALUNYA;GLOBAL;2021-09-14;2021-09-20;--;;;0.0000;0.0000;104;0.0000;8662;17;0.7452;30;43;0;66;38;62;2;8575;13;782;728
CATALUNYA;GLOBAL;2021-09-14;2021-09-20;Si;;;206.1127;121.4089;86;8598.8564;5483;608;2.2956;49;1;13;72;14;75;14;3451;426;69;84
CATALUNYA;GLOBAL;2021-09-13;2021-09-19;--;;;0.0000;0.0000;108;0.0000;8582;21;0.7756;39;42;0;69;39;64;2;8494;16;816;753
CATALUNYA;GLOBAL;2021-09-13;2021-09-19;Si;;;215.9949;128.4675;91;8869.9089;5630;653;2.2408;55;1;14;75;16;75;16;3607;454;63;76
CATALUNYA;GLOBAL;2021-09-13;2021-09-19;No;68.3709;0.860102;79.4916;34.5273;2673;1587.1199;87753;35117;2.7396;272;42;32;1393;1280;1503;1288;71579;30296;46833;54151
CATALUNYA;GLOBAL;2021-09-12;2021-09-18;No;70.6988;0.867398;81.5066;35.5090;2749;1582.2631;87631;34863;2.8022;278;43;34;1432;1317;1525;1321;71482;30081;47528;56183
CATALUNYA;GLOBAL;2021-09-12;2021-09-18;--;;;0.0000;0.0000;115;0.0000;8627;21;0.7828;40;42;0;69;46;65;2;8543;16;812;784
CATALUNYA;GLOBAL;2021-09-12;2021-09-18;Si;;;217.4066;127.0558;90;8963.0832;5695;654;2.2136;49;1;15;75;15;76;15;3662;449;63;77
CATALUNYA;GLOBAL;2021-09-11;2021-09-17;No;72.4141;0.867546;83.4700;35.9869;2786;1565.8455;86716;34507;2.8641;281;48;36;1454;1332;1532;1345;70673;29778;48197;54900
CATALUNYA;GLOBAL;2021-09-11;2021-09-17;--;;;0.0000;0.0000;122;0.0000;8352;21;0.8446;40;42;0;73;49;68;2;8272;16;812;778
CATALUNYA;GLOBAL;2021-09-11;2021-09-17;Si;;;215.9949;129.8792;92;8963.0832;5652;697;2.2357;46;1;18;76;16;76;16;3638;477;60;77
CATALUNYA;GLOBAL;2021-09-10;2021-09-16;--;;;0.0000;0.0000;133;0.0000;8699;26;0.9140;49;43;0;83;50;77;2;8622;21;817;898
CATALUNYA;GLOBAL;2021-09-10;2021-09-16;Si;;;208.9362;98.8212;70;9107.0798;5749;702;1.7766;38;0;16;54;16;57;16;3626;483;62;96
CATALUNYA;GLOBAL;2021-09-10;2021-09-16;No;75.6897;0.874708;86.5314;38.0665;2947;1557.7594;86893;33704;3.0809;282;58;43;1552;1395;1659;1411;70618;29029;50836;63174
